VENDOR,P-NO,P-NAME,PO-NO,DUE,PLACE,PRICE,QTY,RCV,REMAIN,LAST_RCV,EX-LOT,ISSUE,STS,DOC_NO,UNIT WEIGHT,DUE-TIME,PRIVILEDGE
TRT,11010-0181,FILTER-ASSY-AIR,E51024,12/11/2018,RKD,535.52,20,0,0,00/00/0000,N9CY002,11/14/2018,K,1811-E2258,1.746,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E53625,12/3/2018,RKD,204.52,100,0,0,00/00/0000,P9LU086,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E53778,12/3/2018,RKD,204.52,100,0,0,00/00/0000,P9LU087,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E53931,12/4/2018,RKD,204.52,100,0,0,00/00/0000,P9LU088,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E54085,12/6/2018,RKD,204.52,100,0,0,00/00/0000,P9LU089,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E54239,12/6/2018,RKD,204.52,100,0,0,00/00/0000,P9LU090,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E54394,12/7/2018,RKD,204.52,100,0,0,00/00/0000,P9LU091,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E54549,12/8/2018,RKD,204.52,100,0,0,00/00/0000,P9LU092,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E54704,12/8/2018,RKD,204.52,100,0,0,00/00/0000,P9LU093,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E54859,12/10/2018,RKD,204.52,100,0,0,00/00/0000,P9LU094,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E55014,12/10/2018,RKD,204.52,100,0,0,00/00/0000,P9LU095,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E55169,12/11/2018,RKD,204.52,100,0,0,00/00/0000,P9LU096,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E55324,12/12/2018,RKD,204.52,100,0,0,00/00/0000,P9LU097,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E55479,12/12/2018,RKD,204.52,100,0,0,00/00/0000,P9LU098,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E55634,12/13/2018,RKD,204.52,100,0,0,00/00/0000,P9LU099,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E55789,12/13/2018,RKD,204.52,100,0,0,00/00/0000,P9LU100,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E55944,12/14/2018,RKD,204.52,100,0,0,00/00/0000,P9LU101,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E56099,12/14/2018,RKD,204.52,100,0,0,00/00/0000,P9LU102,11/14/2018,K,1811-E2258,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E56257,12/3/2018,RKD,204.52,100,0,0,00/00/0000,P9LV119,11/14/2018,K,1811-E2259,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E56417,12/4/2018,RKD,204.52,100,0,0,00/00/0000,P9LV120,11/14/2018,K,1811-E2259,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E56577,12/4/2018,RKD,204.52,100,0,0,00/00/0000,P9LV121,11/14/2018,K,1811-E2259,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E56737,12/6/2018,RKD,204.52,100,0,0,00/00/0000,P9LV122,11/14/2018,K,1811-E2259,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E56897,12/6/2018,RKD,204.52,100,0,0,00/00/0000,P9LV123,11/14/2018,K,1811-E2259,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E57057,12/7/2018,RKD,204.52,100,0,0,00/00/0000,P9LV124,11/14/2018,K,1811-E2259,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E57217,12/7/2018,RKD,204.52,100,0,0,00/00/0000,P9LV125,11/14/2018,K,1811-E2259,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E57377,12/8/2018,RKD,204.52,100,0,0,00/00/0000,P9LV126,11/14/2018,K,1811-E2259,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E57537,12/10/2018,RKD,204.52,100,0,0,00/00/0000,P9LV127,11/14/2018,K,1811-E2259,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E57697,12/11/2018,RKD,204.52,100,0,0,00/00/0000,P9LV128,11/14/2018,K,1811-E2259,0.853,08:00-09:00,FREEZONE
