VENDOR,P-NO,P-NAME,PO-NO,DUE,PLACE,PRICE,QTY,RCV,REMAIN,LAST_RCV,EX-LOT,ISSUE,STS,DOC_NO,UNIT WEIGHT,DUE-TIME,PRIVILEDGE
TRT,11010-0853,FILTER-ASSY-AIR,E92795,12/27/2018,RKD,204.52,100,0,0,00/00/0000,P9LV152,11/29/2018,K,1811-E5285,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E92955,12/28/2018,RKD,204.52,100,0,0,00/00/0000,P9LV153,11/29/2018,K,1811-E5285,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E93115,12/28/2018,RKD,204.52,100,0,0,00/00/0000,P9LV154,11/29/2018,K,1811-E5285,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E93484,12/26/2018,RKD,204.52,100,0,0,00/00/0000,P9UN002,11/29/2018,K,1811-E5285,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E93638,12/27/2018,RKD,204.52,100,0,0,00/00/0000,P9UN003,11/29/2018,K,1811-E5285,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E93792,12/28/2018,RKD,204.52,100,0,0,00/00/0000,P9UN004,11/29/2018,K,1811-E5285,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E84987,12/17/2018,RKD,204.52,100,0,0,00/00/0000,N9LW021,11/29/2018,K,1811-E5286,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E85096,12/18/2018,RKD,204.52,100,0,0,00/00/0000,N9LW022,11/29/2018,K,1811-E5286,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E85205,12/19/2018,RKD,204.52,100,0,0,00/00/0000,N9LW023,11/29/2018,K,1811-E5286,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E85314,12/21/2018,RKD,204.52,100,0,0,00/00/0000,N9LW024,11/29/2018,K,1811-E5286,0.853,08:00-09:00,FREEZONE
